participant,baseline,adapting,task,trial,temperature,accuracy,active_interval,active_zone,rt,repetition,baseline_flag,target_flag,deviation_flag,recorded_temperature
3,32,34,0,28,0.6,1,1,2,0.492376199923456,0,0,0,0,33.4
3,32,34,0,29,0.6,1,2,1,0.542952099815011,0,0,0,0,33.4
3,32,34,0,30,0.6,1,1,2,0.698888200102374,0,0,0,0,33.4
3,32,30,1,1,2.6,1,2,1,0.446069699944928,0,0,0,0,32.5
3,32,30,1,2,2,1,2,2,1.97169480007142,0,0,0,0,31.9
3,32,30,1,3,1.8,1,2,1,0.618322799913585,0,0,0,0,31.7
3,32,30,1,4,1.4,1,1,2,0.620547099970281,0,0,0,0,31.3
3,32,30,1,5,1.2,0,1,1,0.424215999897569,0,0,0,0,31.1
3,32,30,1,6,2.2,1,1,2,0.737960899947211,0,0,0,0,32.1
3,32,30,1,7,2,1,2,1,0.550977400038391,0,0,0,0,31.9
3,32,30,1,8,1.8,1,1,2,0.370421700179577,0,0,0,0,31.7
3,32,30,1,9,1.6,1,2,1,0.928709500003606,0,0,0,0,31.5
3,32,30,1,10,1.6,0,1,2,0.479052999988198,0,0,0,0,31.5
3,32,30,1,11,2.2,1,2,1,0.425654099788517,0,0,0,0,32.1
3,32,30,1,12,2,1,1,2,0.634898999938741,0,0,0,0,31.9
3,32,30,1,13,2,1,2,1,0.398872599937022,0,0,0,0,31.9
3,32,30,1,14,1.8,1,1,2,1.38802629988641,0,0,0,0,31.7
3,32,30,1,15,1.8,1,1,1,1.73627320001833,0,0,0,0,31.7
3,32,30,1,16,1.8,1,2,2,1.38629329996184,0,0,0,0,31.7
3,32,30,1,17,1.4,0,1,1,0.475378499832004,0,0,0,0,31.3
3,32,30,1,18,1.8,1,2,2,1.15148380002938,0,0,0,0,31.7
3,32,30,1,19,1.8,0,1,1,0.895075100008398,0,0,0,0,31.7
3,32,30,1,20,2,0,1,2,1.6676451000385,0,0,0,0,31.9
3,32,30,1,21,2.4,1,2,1,0.375384900020435,0,0,0,0,32.2815217391304
3,32,30,1,22,2.4,0,1,2,2.30032350006513,0,0,0,0,32.3
3,32,30,1,23,3,1,2,1,0.872917300090194,0,0,0,0,32.9
3,32,30,1,24,3,1,2,2,0.822336199926212,0,0,0,0,32.9
3,32,30,1,25,3,1,2,1,0.333249000133947,0,0,0,0,32.9
3,32,30,1,26,2.8,1,2,2,1.33848799997941,0,0,0,0,32.7
3,32,30,1,27,2.8,1,1,1,0.652057700091973,0,0,0,0,32.7
3,32,30,1,28,2.6,1,2,2,1.43507579993457,0,0,0,0,32.4978723404255
3,32,30,1,29,2.2,1,1,1,0.423581700073555,0,0,0,0,32.1
3,32,30,1,30,2.2,0,1,2,2.29437789996155,0,0,0,0,32.1
3,32,31,1,1,2.6,1,2,1,0.601689700037241,0,0,0,0,33.5
3,32,31,1,2,2,1,1,2,0.386494500096887,0,0,0,0,32.9
3,32,31,1,3,1.8,1,2,1,0.439047399908304,0,0,0,0,32.7
3,32,31,1,4,1.4,0,1,2,0.413131000008434,0,0,0,0,32.3
3,32,31,1,5,2.4,1,2,1,0.352177600143477,0,0,0,0,33.3
3,32,31,1,6,2.2,1,1,2,1.10927090002224,0,0,0,0,33.1
3,32,31,1,7,2,0,1,1,0.535690999822691,0,0,0,0,32.9
3,32,31,1,8,2.8,1,2,2,0.347561799921095,0,0,0,0,33.6923913043478
3,32,31,1,9,2.8,1,2,1,0.696884900098667,0,0,0,0,33.7
3,32,31,1,10,2.6,0,2,2,1.08874570019543,0,0,0,0,33.5
3,32,31,1,11,3.4,1,1,1,0.896771400002763,0,0,0,0,34.3
3,32,31,1,12,3.2,1,1,2,3.1550059998408,0,0,0,0,34.1
3,32,31,1,13,3.2,1,1,1,0.408398400060833,0,0,0,0,34.1
3,32,31,1,14,3,1,2,2,0.371765999821946,0,0,0,0,33.8988888888889
3,32,31,1,15,3,1,2,1,0.82555629988201,0,0,0,0,33.9
3,32,31,1,16,2.4,1,2,2,0.354468000121415,0,0,0,0,33.3
3,32,31,1,17,2.4,1,1,1,0.39260150003247,0,0,0,0,33.3
3,32,31,1,18,2.4,1,1,2,0.770662300055847,0,0,0,0,33.3
3,32,31,1,19,2.4,1,2,1,0.694616799941286,0,0,0,0,33.3
3,32,31,1,20,2.2,1,1,2,0.322897000005469,0,0,0,0,33.1
3,32,31,1,21,2.2,1,2,1,0.689343299949542,0,0,0,0,33.1
3,32,31,1,22,2.2,1,1,2,0.446199900005013,0,0,0,0,33.1
3,32,31,1,23,1.8,1,1,1,0.354817199986428,0,0,0,0,32.7
3,32,31,1,24,1.8,0,2,2,0.310567100066692,0,0,0,0,32.7
3,32,31,1,25,2.2,0,1,1,1.35840100003406,0,0,0,0,33.1
3,32,31,1,26,2.4,1,1,2,0.674150099977851,0,0,0,0,33.2988888888889
3,32,31,1,27,2.4,1,2,1,0.422831499949098,0,0,0,0,33.3
3,32,31,1,28,2.4,1,2,2,1.33269730000757,0,0,0,0,33.3
3,32,31,1,29,2.4,1,1,1,0.317045700037852,0,0,0,0,33.3
3,32,31,1,30,2.4,1,2,2,0.421305899973959,0,0,0,0,33.2577777777778
3,32,34,1,1,2.6,1,2,1,0.650781700154766,0,0,0,0,36.5
3,32,34,1,2,2,1,1,2,0.547464000061154,0,0,0,0,35.8420454545455
3,32,34,1,3,1.8,1,2,1,0.467120399931446,0,0,0,0,35.7
3,32,34,1,4,1.4,1,1,2,0.690597199834883,0,0,0,0,35.2863636363636
3,32,34,1,5,1.2,1,1,1,0.868902200134471,0,0,0,0,35.1
3,32,34,1,6,1,1,2,2,0.550256799906492,0,0,0,0,34.9
3,32,34,1,7,0.8,1,1,1,0.655059800017625,0,0,0,0,34.7
3,32,34,1,8,0.6,1,1,2,0.536757800029591,0,0,0,0,34.5
3,32,34,1,9,0.6,0,2,1,0.557800999842584,0,0,0,0,34.5
3,32,34,1,10,1,1,2,2,0.676409699954093,0,0,0,0,34.9
3,32,34,1,11,1,1,1,1,0.830710599897429,0,0,0,0,34.9
3,32,34,1,12,1,1,2,2,0.571524200029671,0,0,0,0,34.9
3,32,34,1,13,0.8,0,2,1,0.622294900007546,0,0,0,0,34.7
3,32,34,1,14,1.2,1,1,2,0.513831000076607,0,0,0,0,35.1
3,32,34,1,15,1,1,1,1,0.477649500127882,0,0,0,0,34.9
3,32,34,1,16,1,1,2,2,0.493654600111768,0,0,0,0,34.9
3,32,34,1,17,1,1,2,1,0.702733499929309,0,0,0,0,34.9
3,32,34,1,18,1,1,1,2,0.417151900008321,0,0,0,0,34.9
3,32,34,1,19,1,1,2,1,0.491304100025445,0,0,0,0,34.9
3,32,34,1,20,1,1,1,2,0.463094100123271,0,0,0,0,34.9
3,32,34,1,21,1,1,1,1,1.61897670011967,0,0,0,0,34.9
3,32,34,1,22,1,1,2,2,0.565173499984667,0,0,0,0,34.9
3,32,34,1,23,0.6,0,1,1,0.551636900054291,0,0,0,0,34.5
3,32,34,1,24,1,1,2,2,0.956318600103259,0,0,0,0,34.9
3,32,34,1,25,1,1,2,1,0.613309999927878,0,0,0,0,34.9
3,32,34,1,26,1,1,1,2,0.604473400162533,0,0,0,0,34.9
3,32,34,1,27,1,1,2,1,0.567783099832013,0,0,0,0,34.9
3,32,34,1,28,1,1,2,2,0.542839600006118,0,0,0,0,34.9
3,32,34,1,29,1,0,1,1,0.884291199967265,0,0,0,0,34.9
3,32,34,1,30,1,1,1,2,0.59829799993895,0,0,0,0,34.9
4,32.5,30.5,0,1,1.8,1,1,1,0.201706000021659,0,0,0,0,28.6904255319149
4,32.5,30.5,0,2,1.6,1,2,2,0.201718700001948,0,0,0,0,28.9
4,32.5,30.5,0,3,1.2,1,1,1,0.201628500013612,0,0,0,0,29.2866666666667
4,32.5,30.5,0,4,1,0,1,2,0.20184789999621,0,0,0,0,29.5
4,32.5,30.5,0,5,1.8,1,2,1,0.299767500022426,0,0,0,0,28.6858695652174
4,32.5,30.5,0,6,1.8,1,2,2,0.201650800008792,0,0,0,0,28.7
4,32.5,30.5,0,7,1.4,1,2,1,0.201674200012349,0,0,0,0,29.1
4,32.5,30.5,0,8,1.4,1,1,2,0.36470500001451,0,0,0,0,29.1
4,32.5,30.5,0,9,1.4,0,1,1,0.20169730001362,0,0,0,0,29.1
4,32.5,30.5,0,10,2,1,1,2,0.201630999974441,0,0,0,0,28.5
4,32.5,30.5,0,11,1.8,1,2,1,0.201656499993987,0,0,0,0,28.690625
4,32.5,30.5,0,12,1.8,1,2,2,0.20167570002377,0,0,0,0,28.7
4,32.5,30.5,0,13,1.6,1,2,1,0.20165060000727,0,0,0,0,28.9
4,32.5,30.5,0,14,1.6,1,1,2,0.201708199980203,0,0,0,0,28.9
4,32.5,30.5,0,15,1.6,1,2,1,0.201678099983837,0,0,0,0,28.9
4,32.5,30.5,0,16,1.2,1,2,2,0.201620800013188,0,0,0,0,29.3
4,32.5,30.5,0,17,1.2,1,1,1,0.20323109999299,0,0,0,0,29.3
4,32.5,30.5,0,18,1.2,1,1,2,0.476386199996341,0,0,0,0,29.3
4,32.5,30.5,0,19,1.2,1,2,1,0.201668899971992,0,0,0,0,29.2688888888889
4,32.5,30.5,0,20,1.2,1,1,2,0.201667000015732,0,0,0,0,29.3
4,32.5,30.5,0,21,1.2,1,1,1,0.201667199959047,0,0,0,0,29.3
4,32.5,30.5,0,22,0.8,0,1,2,0.20181269996101,0,0,0,0,29.7
4,32.5,30.5,0,23,1.2,1,2,1,0.201839299988933,0,0,0,0,29.2755319148936
4,32.5,30.5,0,24,1.2,1,2,2,0.201741400000174,0,0,0,0,29.3
4,32.5,30.5,0,25,1.2,1,2,1,0.201693399983924,0,0,0,0,29.2911111111111
